"Id";"Word";"Pronunciation";"Definition";"PartOfSpeech"
1075;"vermiculate";"vur-mik-yoo-lit";"marked with irregular fine lines or with wavy impressed lines";"adj"
1076;"vermiform";"vur-mih-form";"resembling a worm in shape";"adj"
1077;"vernacular";"vur-nah-kyuh-lur";"of, relating to, or being a nonstandard language or dialect of a place, region, or country; of, relating to, or characteristic of a period, place, or group";"adj"
1078;"verve";"vurv";"the spirit and enthusiasm animating artistic composition or performance; energy, vitality, vivacity";"n"
1079;"vespertine";"ves-pur-tine";"of, relating to, or occurring in the evening; active, flowering, or flourishing in the evening, crepuscular";"adj"
1080;"vestibular";"veh-stih-byuh-lur";"functioning as a vestibule; of, relating to, or affecting the perception of body position and movement";"adj"
1081;"vestibule";"ves-tih-byool";"a passage, hall, or room between the outer door and the interior of a building, lobby; any of various bodily cavities especially when serving as or resembling an entrance to some other cavity or space";"n"
1082;"vex";"veks";"to bring trouble, distress, or agitation to; to bring physical distress to; to irritate or annoy by petty provocations; puzzle, baffle";"v"
1083;"viand";"vy-ind";"an item of food esp. a choice or tasty dish; provisions, food";"n"
1084;"vilify";"vill-ih-fy";"to utter slanderous and abusive statements against, defame; to lower in estimation or importance";"v"
1085;"vim";"vim";"robust energy and enthusiasm";"n"
1086;"vindicate";"vin-dih-kate";"avenge; free from allegation or blame; confirm";"v"
1087;"virulent";"veer-yuh-lint";"marked by a rapid, severe, and destructive course; extremely poisonous or venomous; full of malice, malignant; objectionably harsh or strong";"adj"
1088;"viscid";"vih-sid";"having an adhesive quality, sticky; having a glutinous consistency, viscous; covered with a sticky layer";"adj"
1089;"vitiate";"vih-she-ate";"to make faulty or defective, impair; to debase in moral or aesthetic status; to make ineffective";"v"
1090;"vitriol";"vih-tree-ol";"something felt to resemble vitriol especially in caustic quality; virulence of feeling or of speech";"n"
1091;"vituperate";"vy-too-per-ate";"to criticize or censure severely or abusively; to use harsh condemnatory language";"v"
1092;"viva voce";"vee-vuh-vo-chay";"by word of mouth, orally; expressed or conducted by word of mouth";"adv"
1093;"vivacious";"vuh-vay-shis";"lively in temper, conduct, or spirit, sprightly";"adj"
1094;"vociferous";"vo-sih-fuh-ris";"marked by or given to vehement insistent outcry";"adj"
1095;"vogue";"voag";"popular acceptation or favor, popularity; a period of popularity; one that is in fashion at a particular time";"n"
1096;"volition";"vo-lih-shin";"the power of choosing or determining, will; an act of making a choice or decision";"n"
1097;"volplane";"vaul-plane";"to glide in or as if in an airplane";"v"
1098;"voluble";"vaul-yoo-bul";"easily rolling or turning, rotating; characterized by ready or rapid speech, glib, fluent";"adj"
1099;"voluptuary";"vuh-lup-choo-ware-ee";"a person whose chief interests are luxury and the gratification of sensual appetites";"n"
1100;"voracity";"voh-rah-sih-tee";"the quality or state of being ravenous or insatiable";"n"
1101;"vouchsafe";"vouch-safe";"to grant or furnish often in a gracious or condescending manner; to give by way of reply; to grant as a privilege or special favor";"v"
1102;"vox populi";"voks-pop-yoo-ly";"popular sentiment";"n"
1103;"waif";"wayph";"a piece of property found but unclaimed; something found without an owner and especially by chance; an extremely thin and usually young woman";"n"
1104;"flocculate";"flok-yoo-late";"to aggregate or coalesce into small lumps or loose clusters";"v"
1105;"wan";"wawn";"suggestive of poor health, sickly, pallid; lacking vitality, feeble";"adj"
1106;"wanderlust";"won-dur-lust";"strong longing for or impulse toward wandering";"n"
1107;"wangle";"wan-gul";"to resort to trickery or devious methods; to adjust or manipulate for personal or fraudulent ends; to make or get by devious means";"v"
1108;"wanton";"won-tun";"merciless, inhumane; being without check or limitation; lewd, bawdy; playfully mean or cruel";"adj"
1109;"weald";"wield";"a heavily woodead area, forest; a wild or uncultivated usually upland region";"n"
1110;"wean";"ween";"to detach from a source of dependence; to accustom to something from an early age; to accustom an animal to take food otherwise than by nursing";"v"
1111;"weft";"weft";"a filling thread or yarn in weaving; yard used for the weft; an article of woven fabric";"n"
1112;"weltschmerz";"velt-schmairts";"mental depression or apathy caused by comparison of the actual state of the world with an ideal state; a mood of sentimental sadness";"n"
1113;"wend";"wend";"to direct one's course; travel, proceed";"v"
1114;"whelm";"welm";"to cover or engulf completely with usually disastrous effect; to overcome in thought or feeling; to pass or go over something so as to bury or submerge it";"v"
1115;"wherewithal";"where-wih-thol";"means or resources for purchasing or doing something; esp. financial resources, money";"n"
1116;"wicket";"wih-kit";"a small gate or door esp. when placed near a larger gate or door; an opening like a window";"n"
1117;"wifty";"wif-tee";"eccentrically silly, giddy, or inane; ditzy";"adj"
1118;"flocculent";"flok-yoo-lint";"resembling wool especially in loose fluffy organization; containing, consisting of, or occurring in the form of loosely aggregated particles or soft flakes";"adj"
1119;"wile";"while";"a trick or stratagem intended to ensnare or deceive; a beguiling or playful trick; skill in outwitting, guile";"n"
1120;"wily";"wy-lee";"full of wiles, crafty";"adj"
1121;"winsome";"win-sum";"generally pleasing and engaging often because of a childlike charm and innocence; cheerful, lighthearted";"adj"
1122;"woolgathering";"wool-gathering";"indulgence in idle daydreaming";"n"
1123;"worsted";"wuu-stid";"a smooth compact yarn from long wool fibers used especially for firm napless fabrics, carpeting, or knitting";"n"
1124;"florid";"floor-id";"very flowery in style, ornate; elaborately decorated; tinged with red, ruddy; marked by emotional or sexual fervor; fully developed, manifesting a complete and typical clinical syndrome";"adj"
1125;"wreak";"reek";"to cause the infliction of; to give free play or course to";"v"
1126;"wry";"ry";"cleverly and often ironically or grimly humorous; bent, twisted, or turned usually abnormally to one side; made by a deliberate distortion of the facial muscles often to express irony or mockery";"adj"
1127;"yawp";"yop";"to make a raucous noise, squawk";"v"
1128;"yeasty";"yee-stee";"immature, unsettled; marked by change; full of vitality";"adj"
1129;"yegg";"yeg";"one that breaks open safes to steal, safecracker, robber";"n"
1130;"yuppie";"yuh-pee";"a young college-educated adult who is employed in a well-paying profession and who lives and works in or near a large city";"n"
1131;"yuppify";"yuh-pih-fy";"to make appealing to yuppies; to infuse with the qualities or values of yuppies";"v"
1132;"zany";"zay-nee";"being or having the characteristics of one who acts the buffoon to amuse others; fantastically or absurdly ludicrous";"adj"
1133;"zeitgeist";"zyte-guyst";"the general intellectual, moral, and cultural climate of an era";"n"
1134;"zibeline";"zih-buh-leen";"a soft lustrous wool fabric with mohair, alpaca, or camel's hair";"n"
1135;"zoomorphic";"zo-uh-mor-fik";"having the form of an animal; of, relating to, or being a deity conceived of in animal form or with animal attributes";"adj"
1136;"flout";"flout";"to treat with contemptuous disregard; scorn";"v"
1137;"flummox";"fluh-muks";"confuse";"v"
1138;"flush";"flush";"of a ruddy healthy color; full of life and vigor, lusty; filled to overflowing; readily available, abundant";"adj"
1139;"flux";"fluks";"a continued flow; the rate of transfer of fluid, particles, or energy across a given surface";"n"
1140;"foible";"foy-bul";"a minor flaw or shortcoming in character or behavior, weakness";"n"
1141;"fop";"fawp";"a foolish or silly person; a man who is devoted to or vain about his appearance or dress";"n"
1142;"forcemeat";"force-meat";"finely chopped and highly seasoned meat or fish that is either served alone or used as a stuffing";"n"
1143;"foreordain";"for-ordain";"to dispose or appoint in advance, predestine";"v"
1144;"forfend";"for-fend";"protect, preserve; to ward off, prevent";"v"
1145;"formosity";"for-mah-sih-tee";"beauty or a beautiful thing";"n"
1146;"founder";"foun-der";"to make or become disabled or lame; to give way, collapse; to become submerged, sink; to come to grief, fail";"v"
1147;"franchise";"fran-chise";"freedom or immunity from some burden or restriction vested in a person or group; a special privilege granted to an individual or group; a constitutional or statutory right or privilege";"n"
1148;"frenetic";"frih-net-ik";"marked by excitement, disorder, or anxiety-driven activity, frenzied, frantic";"adj"
1149;"frivolous";"frih-vuh-lus";"of little weight or importance; lacking in seriousness";"adj"
1150;"fructify";"fruk-tih-fie";"to bear fruit; to make fruitful or productive";"v"
1151;"fruition";"froo-ih-shin";"pleasurable use or possession, enjoyment; the state of bearing fruit; realization";"n"
1152;"fuchsia";"fyoo-shuh";"a vivid reddish purple";"n"
1153;"fugacious";"fyoo-gay-shus";"lasting a short time";"adj"
1154;"fungible";"fun-jih-bul";"interchangeable; flexible; being of such a nature that one part or quantity may be replaced by another equal part or quantity in the satisfaction of an obligation";"adj"
1155;"fugue";"fyoog";"a disturbed state of consciousness in which the one affected seems to perform acts in full awareness but upon recovery cannot recollect the acts performed";"n"
1156;"fulcrum";"ful-krum";"the support about which a lever turns; one that supplies capability for action";"n"
1157;"furlong";"fer-long";"a unit of distance equal to 220 yards (about 201 meters)";"n"
1158;"gaffer";"gah-fur";"an old man (gammer: old woman); employer; a head glassblower; a lighting electrician on a motion-picture or television set";"n"
1159;"furrow";"fur-row";"a trench in the earth made by a plow; plowed land, field; a marked narrow depression, groove; a deep wrinkle";"n"
1160;"fustigate";"fuss-tih-gayt";"to beat with or as if with a short heavy club, cudgel; to criticize severely";"v"
1161;"gainsay";"gain-say";"to declare to be untrue or invalid; contradict, oppose";"v"
1162;"galumph";"guh-lumph";"to move with a clumsy heavy tread";"v"
1163;"galvanize";"gal-vih-nize";"to cause people to become so excited about an issue that they want to do something about it; to cause a force capable of causing change to become active";"v"
1164;"gambrel";"gam-brul";"a stick or iron for suspending slaughtered animals";"n"
1165;"gamphrel";"gam-frul";"a stupid person";"n"
1166;"gamut";"gam-it";"an entire range or series";"n"
1167;"gantry";"gan-tree";"a frame structure raised on side supports so as to span over or around something";"n"
1168;"garble";"gar-bul";"to sift impurities from; to alter or distort as to create a wrong impression or change the meaning";"v"
1169;"garish";"gare-ish";"clothed in vivid colors; excessively or disturbingly vivid; offensively or distressingly bright, glaring; tastelessly showy, flashy";"adj"
1170;"garrulous";"gair-ih-lus";"given to prosy, rambling, or tedious loquacity, pointlessly or annoyingly talkative; using or containing many and usually too many words";"adj"
1171;"gasket";"gas-kit";"a material or a part used to make a joint fluid tight";"n"
1172;"gauche";"goash";"lacking social experience or grace; not tactful, crude";"adj"
1173;"gaudy";"gaw-dee";"ostentatiously or tastelessly ornamented; marked by extravagance or sometimes tasteless showiness";"adj"
1174;"gemmary";"jim-er-ee";"the science of gems";"n"
1175;"genial";"jeen-e-ul";"marked by or freely expressing sympathy or friendliness; favorable to growth or comfort, mild; displayed or marked by genius";"adj"
1176;"genteel";"jen-teel";"elegant or graceful in manner, appearance, or shape, stylish; free from vulgarity or rudeness, polite; maintaining or striving to maintain the appearance of superior or middle-class social status or respectability";"adj"
1177;"gentry";"jen-tree";"upper or ruling class, aristocracy; people of a specified class or kind, folks";"n"
1178;"geodesic";"jee-uh-des-ik";"made of light straight structural elements mostly in tension esp. used in domes";"adj"
1179;"germinate";"jur-min-ate";"to cause to sprout or develop; to come into being, evolve; to begin to grow, sprout";"v"
1180;"gestalt";"guh-stalt";"something that is made of many parts and yet is somehow more than or different from the combination of its parts; the general quality or character of something";"n"
1181;"gesticulate";"jes-tik-yoo-late";"to make gestures esp. when speaking";"v"
1182;"gibbous";"jib-us";"marked by convexity or swelling; having a hump, humpbacked";"adj"
1183;"gibe";"jibe";"to utter taunting words; to deride or tease with taunting words";"v"
1184;"gigolo";"jig-uh-low";"a male prostitute; a man supported by a woman usually in return for his attentions; a professional dancing partner or male escort";"n"
1185;"glabrous";"glay-brus";"smooth; having a surface without hairs or projections";"adj"
1186;"glaucoma";"glauw-coma";"a disease of the eye marked by increased pressure within the eyeball that can result in damage to the optic disk and gradual loss of vision";"n"
1187;"glib";"glib";"marked by ease and informality, nonchalant; showing little forethought or preparation, offhand; lacking depth and substance, superficial; marked by ease and fluency in speaking or writing often to the point of being insincere or deceitful";"adj"
1188;"gloaming";"glow-ming";"twilight, dusk";"n"
1189;"gloss";"glauss";"to provide a brief explanation or interpretation for, explain, define; to dispose of by false or perverse interpretation";"v"
1190;"glower";"glauw-er";"to look or stare with sullen annoyance or anger; a sudden brooding look of annoyance or anger";"v"
1191;"glutinous";"gloo-tih-nus";"having the quality of glue, gummy";"adj"
1192;"goy";"goy";"a Jewish name for a non-Jew";"n"
1193;"graft";"graft";"an organic part that is joined to another similar part so as to grow together; the acquisition of gain (such as money) in dishonest or questionable ways";"n"
1194;"grandiloquence";"gran-dill-ih-kwents";"a lofty, extravagantly colorful, pompous, or bombastic style, manner, or quality especially in language";"n"
1195;"grandiose";"gran-dee-ose";"characterized by affectation of grandeur or splendor or by absurd exaggeration; impressive because of uncommon largeness, scope, effect, or grandeur";"adj"
1196;"gravamen";"gruh-vay-min";"the material or significant part of a grievance or complaint";"n"
1197;"gravelly";"grav-lee";"having a rough or grating sound";"adj"
1198;"gregarious";"grih-gair-e-us";"marked by or indicating a liking for companionship; sociable; (of plants) growing in a cluster or a colony";"adj"
1199;"grift";"grift";"to obtain money or property illicitly esp. through a game";"v"
1200;"grike";"grike";"crevice, crack; an opening in rock widened by natural forces";"n"
1201;"grok";"grok";"to understand profoundly and intuitively";"v"
1202;"grommet";"grah-mit";"a flexible loop that serves as a fastening, support, or reinforcement";"n"
1203;"grouse";"";"complain, grumble";"v"
1204;"guile";"guy-ul";"deceitful cunning, duplicity";"n"
1205;"gumption";"gump-shen";"common sense; enterprise, initiative";"n"
1206;"gypsum";"jip-sum";"a widely distributed mineral consisting of hydrous calcium sulfate that is used especially as a soil amendment and in making plaster of paris; drywall";"n"
1207;"habiliment";"huh-bil-uh-munt";"characteristic apparatus, trappings; the dress characteristic of an occupation or occasion; clothes";"n"
1208;"hachure";"ha-shur";"to denote surfaces in relief (as on a map) by shading with short lines drawn in the direction of slope";"adj"
1209;"halcyon";"hal-see-un";"calm, peaceful; happy, golden; prosperous, affluent";"adj"
1210;"hale";"hail";"free from defect, disease, or infirmity, sound; retaining exceptional health and vigor";"adj"
1211;"haphazard";"hap-haz-erd";"marked by lack of plan, order, or direction";"adj"
1212;"hapless";"hap-less";"having no luck, unfortunate";"adj"
1213;"haptic";"hap-tik";"relating to or based on the sense of touch";"adj"
1214;"harbinger";"har-bin-jur";"one that initiates a major change; something that foreshadows a future event";"n"
1215;"haughty";"haw-tee";"blatantly and disdainfully proud; having or showing an attitude of superiority and contempt for people or things perceived to be inferior";"adj"
1216;"haute";"oat";"fashionable, high-class";"adj"
1217;"headlong";"head-long";"headfirst; without deliberation, recklessly; without pause or delay; lacking in calmness or restraint";"adj"
1218;"heady";"heddy";"willful, rash, violent, impetuous; tending to intoxicate or make giddy or elated";"adj"
1219;"heartstring";"heart-string";"the deepest emotions or affections";"n"
1220;"hebetude";"heb-ih-tude";"lethargy; dullness";"n"
1221;"hedonism";"hee-duh-nism";"the doctrine that pleasure or happiness is the sole or chief good in life";"n"
1222;"hermetic";"her-metik";"airtight; impervious to external influence; recluse, solitary";"adj"
1223;"hew";"hyoo";"to cut or fell with blows; to give from or shape to with as if with an ax";"v"
1224;"hieratic";"hi-er-at-ik";"highly stylized or formal";"adj"
1225;"hirsute";"her-suit";"hairy; covered with coarse stiff hairs";"adj"
1226;"hoi polloi";"hoy-puh-loy";"the general populace, masses; people of distinction or wealth or elevated social status, elite";"n"
1227;"holus-bolus";"ho-lus-bow-lus";"all at once";"adv"
1228;"homiletic";"ha-mih-letik";"of, relating to, or resembling a homily; of or relating to the art of preaching, preachy";"adj"
1229;"homily";"ha-mih-lee";"a usually short sermon; lecture or discourse on or of a moral theme; an inspirational catchphrase";"n"
1230;"hoodlum";"hood-lum";"thug; a violent criminal";"n"
1231;"hoopla";"hoop-lah";"excited commotion; exaggerated or sensational promotion or publicity";"n"
1232;"hortative";"hor-tih-tive";"giving exhortation; serving to advise or warn";"adj"
1233;"humor";"hyoo-mur";"to soothe or content someone by indulgence, to comply with the temperament or inclinations of; to adapt oneself to";"v"
1234;"hypertrophy";"hi-pur-truh-fee";"excessive development of an organ or part esp. an increase in bulk without multiplication of parts; exaggerated growth or complexity";"n"
1235;"hvac";"H-VAC";"heating, ventilation, and air-conditioning";"brev"
1236;"hypnagogic";"hip-nuh-goj-ik";"of, relating to, or occurring in the period of drowsiness immediately preceding sleep";"adj"
1237;"hypesthesia";"hi-pes-thesia";"numbness; lack of or reduced sense of touch";"n"
1238;"iatrogenic";"eye-ah-trow-jenik";"induced inadvertently by a physician or surgeon or by medical treatment or diagnostic procedures";"adj"
1239;"idyllic";"eye-dill-ik";"pleasing or picturesque in natural simplicity; of, relating to, or being an idyll (a descriptive work that suggests a mood of peace and contentment)";"adj"
1240;"illustrious";"ih-lus-tree-us";"notably or brilliantly outstanding because of dignity or achievements or actions; eminent";"adj"
1241;"imbroglio";"imm-brole-yo";"an acutely painful or embarrassing misunderstanding; an intricate or complicated situation; a confused mass";"n"
1242;"imminent";"ih-min-ent";"ready to take place; happening soon";"adj"
1243;"immure";"ih-myoor";"to enclose within or as if within walls, imprison; to build into a wall; to entomb in a wall";"v"
1244;"impalpable";"im-pal-puh-bul";"incapable of being felt by touch, intangible; not readily discerned by the mind";"adj"
1245;"impel";"im-pel";"to urge or drive forward or on by or as if by the exertion of strong moral pressure, force; to impart motion to, propel";"v"
1246;"imperturbable";"im-per-ter-buh-bul";"marked by extreme calm, impassivity, and steadiness, serene";"adj"
1247;"impinge";"im-pinj";"to strike or dash especially with a sharp collision; to have an effect, make an impression; encroach, infringe";"v"
1248;"implacable";"im-plak-uh-bul";"not capable of being appeased, significantly changed, or mitigated";"adj"
1249;"importunate";"im-porch-ih-nit";"troublesomely urgent; overly persistent in request or demand; troublesome";"adj"
1250;"impudent";"im-pyoo-dint";"marked by contemptuous or cocky boldness or disregard of others, insolent";"adj"
1251;"impugn";"im-pyoon";"to assail by words or arguments; oppose or attack as false or lacking integrity";"v"
1252;"impunity";"im-pyoo-nih-tee";"exemption or freedom from punishment, harm, or loss";"n"
1253;"inane";"ih-nain";"empty, insubstantial; lacking significance, meaning, or point; silly";"adj"
1254;"inanition";"in-uh-nish-in";"the exhausted condition that results from lack of food and water";"n"
1255;"incipient";"in-sih-pee-int";"beginning to come into being or to become apparent";"adj"
1256;"incorrigible";"in-kor-ih-ji-bul";"incapable of being corrected or amended; not manageable, unruly; unalterable, not reformable";"adj"
1257;"inculpate";"in-CULL-pate";"to incriminate";"v"
1258;"inculcate";"in-CULL-kate";"to teach and impress by frequent repetitions or admonitions";"v"
1259;"indemnity";"in-dem-nih-tee";"security against hurt, loss, or damage; exemption from incurred penalties or liabilities";"n"
1260;"indigence";"in-dih-jints";"a level of poverty in which real hardship and deprivation are suffered and comforts of life are wholly lacking";"n"
1261;"indulge";"in-dulge";"to give free rein to; to take unrestrained pleasure in, gratify; to yield to the desire of, humor; to treat with excessive leniency, generosity, or consideration";"v"
1262;"indoctrinate";"in-dok-trih-nate";"to instruct especially in fundamentals or rudiments, teach; to imbue with a usually partisan or sectarian opinion, point of view, or principle";"v"
1263;"indolent";"in-duh-lint";"averse to activity, effort, or movement; showing an inclination to laziness; causing little or no pain; slow to develop or heal";"adj"
1264;"indurate";"in-der-it";"physically or morally hardened";"adj"
1265;"ineffable";"in-eff-uh-bul";"too great or extreme to be expressed or described in words; incapable of being expressed in words, indescribable, unspeakable; not to be uttered, taboo";"adj"
1266;"ineluctable";"in-ih-lek-tih-bul";"not to be avoided, changed, or resisted, inevitable";"adj"
1267;"infidel";"in-fih-dul";"a disbeliever in something specified or understood; an unbeliever with respect to a particular religion esp. Christianity";"n"
1268;"infirm";"in-firm";"of poor or deteriorated vitality; weak of mind, will, or character; not solid or stable, insecure";"adj"
1269;"infirmity";"in-firm-ih-tee";"the quality or state of being infirm; the condition of being feeble, frailty; disease, malady; a personal failing, foible";"n"
1270;"infra-";"in-fruh";"prefix meaning below";"pfx"
1271;"ingenue";"an-juh-noo";"a naive girl or young woman";"n"
1272;"ingratiating";"in-gray-she-ate-ing";"capable of winning favor, pleasing; intended or adopted in order to gain favor, flattering";"adj"
1273;"inhere";"in-here";"to be inherent; to be a fixed element or attribute";"v"
1274;"inherent";"in-hair-int";"involved in the constitution or essential character of something; belonging by nature or habit";"adj"
1275;"iniquity";"in-ih-kwuh-tee";"gross injustice, wickedness; a wicked act or thing, sin";"n"
1276;"injunction";"in-junk-shun";"the act or an instance of enjoining, order, admonition; a writ granted by a court of equity whereby one is required to do or to refrain from doing a specified act";"n"
1277;"innervate";"ih-NURR-vate";"to supply with nerves";"v"
1278;"innocuous";"ih-nok-yoo-us";"producing no injury, harmless; not likely to give offense or to arouse strong feelings or hostility; inoffensive, insipid";"adj"
1279;"innuendo";"in-yoo-en-doh";"an oblique allusion, hint, insinuation; a veiled or equivocal reflection on character or reputation; the use of such allusions";"n"
1280;"inoculate";"ih-nok-yoo-late";"to introduce immunologically active material (such as an antibody or antigen) into an environment esp. in order to treat or prevent a disease; to introduce something into the mind of";"v"
1281;"inordinate";"in-or-dih-nut";"exceeding reasonable limits, immoderate";"adj"
1282;"insidious";"in-sih-dee-us";"awaiting a chance to entrap, treacherous; harmful but enticing, seductive; having a gradual and cumulative effect, subtle";"adj"
1283;"insinuate";"in-sin-yoo-ate";"to impart or suggest in an artful or indirect way, imply; to introduce by stealthy, smooth, or artful means";"v"
1284;"insipid";"in-SIP-id";"lacking taste or savor, tasteless; lacking in qualities that interest, stimulate, or challenge, dull, flat";"adj"
1285;"insolent";"in-suh-lint";"insultingly contemptuous in speech or conduct; exhibiting boldness or effrontery, impudent";"adj"
1286;"insouciant";"in-soo-see-ints";"lighthearted unconcern, nonchalance";"n"
1287;"instauration";"in-store-ay-shin";"restoration after decay, lapse, or dilapidation; an act of instituting or establishing something";"n"
1288;"intemperance";"in-temp-er-ints";"lack of moderation esp. habitual or excessive drinking of intoxicants";"n"
1289;"interdigitate";"in-ter-dij-ih-tate";"to become interlocked like the fingers of folded hands";"v"
1290;"interlocutor";"in-ter-lok-yoo-ter";"one who takes part in dialogue or conversation";"n"
1291;"intersperse";"in-ter-sperce";"to place something at intervals in or among; to insert at intervals among other things";"v"
1292;"interstice";"in-TER-stus";"a space that intervenes between things; a short space of time between events";"n"
1293;"intoxicate";"in-tok-sih-kate";"posion; to excite or stupefy by alcohol or a drug especially to the point where physical and mental control is markedly diminished; to excite or elate to the point of enthusiasm or frenzy";"v"
1294;"intractable";"in-trak-tih-bul";"not easily governed, managed, or directed; not easily manipulated or shaped; not easily relieved or cured";"adj"
1295;"intransigent";"in-tran-sih-jint";"characterized by refusal to compromise or to abandon an often extreme position or attitude, uncompromising";"adj"
1296;"intrepid";"in-treh-pid";"characterized by resolute fearlessness, fortitude, and endurance";"adj"
1297;"intrigue";"IN-trigue";"the practice of engaging in secret schemes; a secret scheme, machination; a clandestine love affair";"n"
1298;"invective";"in-vek-tiv";"insulting or abusive language, vituperation; an abusive expression or speech";"n"
1299;"inveigh";"in-vay";"to protest or complain bitterly or vehemently, rail";"v"
1300;"inveigle";"in-vay-gul";"to win over by wiles, entice; to acquire by ingenuity or flattery";"v"
1301;"inveterate";"in-vet-er-it";"firmly established by long persistence; confirmed in a habit, habitual";"adj"
1302;"invidious";"in-vih-dee-is";"tending to cause discontent, animosity, or envy; envious; of an unpleasant or objectionable nature, obnoxious; of a kind to cause harm or resentment";"adj"
1303;"invigilate";"in-vih-jih-late";"to keep watch esp. to supervise students at an examination; supervise, monitor";"v"
1304;"inviolable";"in-vy-uh-lih-bul";"secure from violation or profanation; secure from assault or trespass, unassailable";"adj"
1305;"involute";"in-vuh-loot";"curled spirally; curled or curved inward";"adj"
1306;"irreverent";"ih-rev-er-int";"lacking proper respect or seriousness";"adj"
1307;"irrupt";"ih-rupt";"to rush in forcibly or violently; to undergo a sudden upsurge in numbers especially when natural ecological balances and checks are disturbed; to become active or violent especially suddenly, erupt";"v"
1308;"isthmus";"IS-mus";"a narrow strip of land connecting two larger land areas";"n"
1309;"jabberwocky";"jah-bur-wah-kee";"meaningless speech or writing";"n"
1310;"jackknife";"jack-knife";"to bend in the middle; fold in the middle";"v"
1311;"jaded";"jay-did";"fatigued by overwork, exhausted; made dull, apathetic, or cynical by experience or by having or seeing too much of something";"adj"
1312;"jalousie";"jah-luh-see";"a blind with adjustable horizontal slats for admitting light and air while excluding direct sun and rain";"n"
1313;"jasper";"jas-pur";"blackish green quartz";"n"
1314;"jaundiced";"jon-dist";"exhibiting or influenced by envy, distaste, or hostility";"adj"
1315;"jaunt";"jont";"a usually short journey or excursion undertaken especially for pleasure";"n"
1316;"jaunty";"jon-tee";"sprightly in manner or appearance, lively";"adj"
1317;"jive";"jive";"glib, deceptive, or foolish talk; the jargon of hipsters";"n"
1318;"jive";"jive";"to say foolish, deceptive, or unserious things";"v"
1319;"jocose";"jo-kose";"given to joking, merry; characterized by joking, humorous";"adj"
1320;"kaput";"kuh-put";"utterly finished, defeated, or destroyed; unable to part_of_speech, useless; hopelessly outmoded";"adj"
1321;"khaki";"kah-kee";"a light yellowish-brown cloth made usually of cotton or wool";"n"
1322;"kitsch";"kitch";"something that appeals to popular or lowbrow taste and is often of poor quality; a tacky or lowbrow quality or condition";"n"
1323;"knotty";"nah-tee";"so full of difficulties and complications as to be likely to defy solution";"adj"
1324;"knurl";"nurl";"a small protuberance, excrescence, or knob; one of a series of small ridges or beads on a metal surface to aid in gripping";"n"
1325;"labret";"lay-brut";"an ornament worn in a perforation of the lip";"n"
1326;"lacerate";"lah-sir-ate";"to tear or rend roughly, wound jaggedly; to cause sharp mental or emotional pain to, distress";"v"
1327;"lagniappe";"lan-yap";"a small gift given a customer by a merchant at the time of a purchase; something given or obtained gratuitously or by way of good measure";"n"
1328;"laity";"lay-uh-tee";"the mass of the people as distinguished from those of a particular profession or those specially skilled; the people of a religious faith as distinguished from its clergy";"n"
1329;"lambaste";"lam-bayst";"to assault violently, beat, whip; to attack verbally, censure";"v"
1330;"lammergeier";"lam-er-guy-er";"a large Old World (Europe, Asia, Africa) vulture that occurs in mountain regions and in flight resembles a huge falcon";"n"
1331;"lamster";"lam-stir";"a fugitive especially from the law";"n"
1332;"languid";"lan-gwid";"drooping or flagging from or as if from exhaustion, weak; sluggish in character or disposition; lacking force or quickness of movement, slow";"adj"
1333;"lanugo";"luh-new-go";"a dense cottony or downy growth of hair; specifically the soft woolly hair that covers the fetus of some mammals";"n"
1334;"lapel";"luh-pell";"the fold of the front of a coat that is usually a continuation of the collar; the part of a garment that is turned back";"n"
1335;"lapidary";"lah-pih-dair-ee";"a cutter, polisher, or engraver of precious stones usually other than diamonds; the art of cutting gems";"n"
1336;"lapidate";"lah-pih-date";"to pelt or kill with stones";"v"
1337;"largesse";"lar-zhess";"liberal giving to or as if to an inferior; generosity";"n"
1338;"lark";"lark";"a source of or quest for amusement or adventure";"n"
1339;"lark";"lark";"to engage in harmless fun or mischief";"v"
1340;"lascivious";"luh-siv-e-us";"lewd, lustful";"adj"
1341;"lathe";"laythe";"a machine in which work is rotated about a horizontal axis and shaped by a fixed tool";"n"
1342;"laudable";"law-dih-bul";"worthy of praise, commendable";"adj"
1343;"lave";"layve";"wash, bathe; to flow along or against; pour";"v"
1344;"layman";"lay-mun";"a person who does not belong to a particular profession or who is not expert in some field";"n"
1345;"leer";"liir";"to cast a sidelong (sideways) glance; to cast a lascivious, knowing, or wanton look";"v"
1346;"legerdemain";"leh-jer-dih-main";"sleight of hand; a display of skill or adroitness";"n"
1347;"legerity";"luh-jair-ih-tee";"alert facile quickness of mind or body";"n"
1348;"lenitive";"len-ih-tiv";"alleviating pain or harshness, soothing";"adj"
1349;"leonine";"lee-uh-nine";"of, relating to, suggestive of, or resembling a lion";"adj"
1350;"levity";"leh-vih-tee";"lack of seriousness; lack of steadiness";"n"
1351;"lewd";"lood";"sexually unchaste or licentious; obscene, vulgar";"adj"
1352;"lexicographer";"lek-sih-kaw-grih-fur";"an author or editor of a dictionary";"n"
1353;"lexicon";"lek-sih-con";"a book containing an alphabetical arrangement of the words in a language and their definitions, dictionary; the total stock of morphemes in a language; the vocabulary of a language, an individual speaker or group of speakers, or a subject; repertoire, inventory";"n"
